dataset_name,doi,journal,title,url
IRI Infoscan data,10.1002/agr.20288,Agribusiness,Some Like It Healthy: Demand for Functional and Conventional Yogurts in the Italian Market,https://onlinelibrary.wiley.com/doi/full/10.1002/agr.20288
IRI Infoscan data,10.1111/j.1477-9552.2011.00299.x,Journal of Agricultural Economics,The Elusive Price Premium for Ecolabelled Products: Evidence from Seafood in the UK Market,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1477-9552.2011.00299.x
IRI Infoscan data,10.3168/jds.2010-4062,Journal of Dairy Science,Assessing economic and demographic factors that influence United States dairy demand,https://www.sciencedirect.com/science/article/pii/S0022030211003705
IRI Infoscan data,10.2202/1542-0485.1085,Journal of Agricultural & Food Industrial Organization,Private Label Expansion and Supermarket Milk Prices,https://www.researchgate.net/publication/46556614_Private_Label_Expansion_and_Supermarket_Milk_Prices
IRI Infoscan data,10.1002/agr.20058,Agribusiness,"Retail oligopoly power, dairy compact, and Boston milk prices",https://onlinelibrary.wiley.com/doi/epdf/10.1002/agr.20058
IRI Infoscan data,10.2202/1542-0485.1075,Journal of Agricultural & Food Industrial Organization,Market Conduct in the U.S. Ready-to-Eat Cereal Industry,researchgate.net/publication/24015277_Market_Conduct_in_the_US_Ready-to-Eat_Cereal_Industry
IRI Infoscan data,10.1162/003465303765299792,Review of Economics and Statistics,"New Products, Quality Changes, and Welfare Measures Computed from Estimated Demand Systems",https://www.nber.org/papers/w8425.pdf
IRI Infoscan data,10.1111/1468-0262.00194,Econometrica,Measuring Market Power in the Ready-to-Eat Cereal Industry,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1468-0262.00194
IRI Infoscan data,10.1002/agr.21537,Agribusiness,Comparing competitive toughness to benchmark outcomes in retail oligopoly pricing,https://onlinelibrary.wiley.com/doi/full/10.1002/agr.21537
IRI Infoscan data,10.1016/j.foodpol.2017.08.013,Food Policy,Lessons learned from the national household food acquisition and purchase survey in the United States,https://www.sciencedirect.com/science/article/pii/S0306919217306966
IRI Infoscan data,10.1002/agr.21298,Agribusiness,The Organic Milk Market in Germany Is Maturing: A Demand System Analysis of Organic and Conventional Fresh Milk Segmented by Consumer Groups,https://onlinelibrary.wiley.com/doi/full/10.1002/agr.21298
IRI Consumer Network data,10.1080/10454446.2018.1428259,Journal of Food Products Marketing,A comparative analysis of hedonic models of nutrition information and health claims on food products: An application to soup products,https://www.tandfonline.com/doi/full/10.1080/10454446.2018.1428259
IRI Consumer Network data,10.1111/j.1467-9353.2009.01449.x,Review of Agricultural Economics,Understanding Differences in Self-Reported Expenditures between Household Scanner Data and Diary Survey Data: A Comparison of Homescan and Consumer Expenditure Survey,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1467-9353.2009.01449.x
IRI Infoscan data,10.1093/erae/jbu033,European Review of Agricultural Economics,Simulating welfare effects of the European nutrition and health claims' regulation: the Italian yogurt market,https://www.researchgate.net/publication/277905080_Simulating_welfare_effects_of_the_European_nutrition_and_health_claims'_regulation_The_Italian_yogurt_market
IRI Infoscan data,10.1111/nure.12123,Nutrition Reviews,A systematic review of the effectiveness of food taxes and subsidies to improve diets: Understanding the recent evidence,https://onlinelibrary.wiley.com/doi/full/10.1111/nure.12123
IRI Infoscan data,10.1111/j.1468-0106.2012.00598.x,Pacific Economic Review,Home Bias in US Beer Consumption,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1468-0106.2012.00598.x
IRI Infoscan data,10.1080/00036846.2011.568397,Applied Economics,Demand for carbonated soft drinks: implications for obesity policy,https://www.tandfonline.com/doi/full/10.1080/00036846.2011.568397
IRI Infoscan data,10.1108/17561371111131308,China Agricultural Economic Review,Dynamics of retail pricing: a case study of fluid milk,https://www.emerald.com/insight/content/doi/10.1108/17561371111131308/full/html
IRI Infoscan data,10.2202/1542-0485.1353,Journal of Agricultural & Food Industrial Organization,Tax Incidence When Quality Matters: Evidence from the Beer Market,https://www.degruyter.com/downloadpdf/j/jafio.2011.9.issue-1/1542-0485.1353/1542-0485.1353.pdf
IRI Infoscan data,10.2202/1542-0485.1296,Journal of Agricultural & Food Industrial Organization,The Effect of Proposition 2 on the Demand for Eggs in California,https://www.degruyter.com/downloadpdf/j/jafio.2010.8.1/jafio.2010.8.1.1296/jafio.2010.8.1.1296.pdf
IRI Infoscan data,10.1111/j.1467-6451.2008.00330.x,Journal of Industrial Economics,Price Competition in U.S. Brewing,https://www.jstor.org/stable/pdf/25483395.pdf?refreqid=excelsior%3A5c095de3c108b52fa5ba37b1a81899f1
IRI Infoscan data,10.1016/j.ijindorg.2006.12.003,International Journal of Industrial Organization,Demand for differentiated products: Price and advertising evidence from the U.S. beer market,https://www.sciencedirect.com/science/article/pii/S0167718706001585
IRI Infoscan data,10.1017/s1074070800022574,Journal of Agricultural and Applied Economics,Firm-Level Competition in Price and Variety,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E5E36ECD7C47F9FAA7D3E7942C49F976/S1074070800022574a.pdf/firmlevel_competition_in_price_and_variety.pdf
IRI Infoscan data,10.1111/j.1467-9353.2006.00317.x,Review of Agricultural Economics,Sales Responses to Recalls for Listeria monocytogenes: Evidence from Branded Ready-to-Eat Meats,https://academic.oup.com/aepp/article/28/4/482/7621
IRI Infoscan data,10.1111/j.1574-0862.2006.00136.x,Agricultural Economics,Strategic pricing in a differentiated product oligopoly model: fluid milk in Boston,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1574-0862.2006.00136.x
IRI Infoscan data,10.1111/j.1439-0507.2005.01134.x,Mycoses,Candidaemia in an Irish tertiary referral hospital: epidemiology and prognostic factors,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0507.2005.01134.x
IRI Infoscan data,10.1016/j.ijresmar.2004.08.002,International Journal of Research in Marketing,Modelling and forecasting brand share: A dynamic demand system approach,https://www.sciencedirect.com/science/article/pii/S0167811605000157
IRI Infoscan data,10.1007/s11745-004-1195-5,Lipids,"Trans, saturated, and unsaturated fat in foods in the united states prior to mandatory trans-fat labeling",https://link.springer.com/content/pdf/10.1007%2Fs11745-004-1195-5.pdf
IRI Infoscan data,10.1787/oecd_papers-v2-5-fr,Documents de l OCDE,"Competition, Innovation and Productivity Growth: A Review of Theory and Evidence",https://www.oecd-ilibrary.org/docserver/oecd_papers-v2-5-fr.pdf?expires=1569596747&id=id&accname=ocid177380&checksum=E18ABFA548A5DB1756BDC231775BC038
IRI Consumer Network data,10.1016/j.appet.2017.07.006,Appetite,Deal or no deal? The prevalence and nutritional quality of price promotions among U.S. food and beverage purchases,https://www.sciencedirect.com/science/article/pii/S0195666317303069?via%3Dihub
IRI Consumer Network data,10.1016/j.jand.2017.01.011,Journal of the Academy of Nutrition and Dietetics,"No Fat, No Sugar, No Salt . . . No Problem? Prevalence of ""Low-Content"" Nutrient Claims and Their Associations with the Nutritional Profile of Food and Beverage Purchases in the United States",https://www.sciencedirect.com/science/article/pii/S2212267217300722?via%3Dihub
IRI Consumer Network data,10.1016/j.foodqual.2011.02.009,Food Quality and Preference,External validity of the food values scale,https://www.sciencedirect.com/science/article/pii/S0950329311000425
IRI Consumer Network data,10.1177/0890117117740935,American Journal of Health Promotion,"Chronic Disease, Prescription Medications, and Food Purchases",https://journals.sagepub.com/doi/full/10.1177/0890117117740935?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed
IRI Consumer Network data,10.1016/0167-8116(89)90004-9,International Journal of Research in Marketing,Testing functional forms of market share models using the Box-Cox transformation and the Lagrange multiplier approach,https://reader.elsevier.com/reader/sd/pii/0167811689900049?token=C02280C47737D4636D0A09561C470925537AD4FE2E439C1DFDAC6A863BBB97D266F2E7CA446900A4DFB3155AD0305ED0
IRI Infoscan data,10.1016/j.pmedr.2019.100883,Preventive Medicine Reports,"Sugar-sweetened beverage prices: Variations by beverage, food store, and neighborhood characteristics, 2017",https://www.sciencedirect.com/science/article/pii/S2211335519300634
IRI Infoscan data,10.1016/j.jmacro.2019.103129,Journal of Macroeconomics,"Quality, Price Stickiness, and Monetary Policy",https://www.sciencedirect.com/science/article/pii/S0164070418304944
IRI Infoscan data,10.1146/annurev-nutr-082018-124603,Annual Review of Nutrition,"The Economics of Taxes on Sugar-Sweetened Beverages: A Review of the Effects on Prices, Sales, Cross-Border Shopping, and Consumption",https://www.annualreviews.org/doi/full/10.1146/annurev-nutr-082018-124603?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dpubmed
IRI Infoscan data,10.1016/j.econlet.2019.05.020,Economics Letters,"Competition, business cycles, and price flexibility in grocery stores",https://www.sciencedirect.com/science/article/pii/S016517651930179X
IRI Infoscan data,10.1177/1090198119831759,Health Education & Behavior,Tobacco Marketing at SNAP- and WIC-Authorized Retail Food Stores in the United States,https://journals.sagepub.com/doi/full/10.1177/1090198119831759?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed
IRI Infoscan data,10.1038/s41430-019-0470-5,European Journal of Clinical Nutrition,"Price and sales volume of sugar-sweetened beverages, diet drinks, sweets and chocolates: analysis of Danish retail scanner data",https://www.nature.com/articles/s41430-019-0470-5
IRI Infoscan data,10.1016/j.meatsci.2019.107881,Meat Science,Valuation of observable attributes in differentiated beef products in Chile using the hedonic price method,https://www.sciencedirect.com/science/article/pii/S0309174019301871
IRI Infoscan data,10.1136/tobaccocontrol-2018-054348,Tobacco Control,"National and state patterns of concept-flavoured cigar sales, USA, 2012-2016",https://tobaccocontrol.bmj.com/content/28/4/394.long
IRI Infoscan data,10.1111/ecin.12776,Economic Inquiry,Soda Wars: The Effect of a Soda Tax Election on University Beverage Sales,https://onlinelibrary.wiley.com/doi/full/10.1111/ecin.12776
IRI Infoscan data,10.1177/0743915619845424,Journal of Public Policy & Marketing,Reducing Obesity by Taxing Soft Drinks: Tax Salience and Firms' Strategic Responses,https://journals.sagepub.com/doi/full/10.1177/0743915619845424
IRI Infoscan data,10.1136/tobaccocontrol-2018-054405,Tobacco Control,"Little filtered cigars: US sales, flavours, package sizes and prices",https://tobaccocontrol.bmj.com/content/28/3/346.full
IRI Infoscan data,10.1016/j.jretconser.2019.02.004,Journal of Retailing and Consumer Services,Understanding ethical purchasing behavior: Validation of an enhanced stage model of ethical behavior,https://www.sciencedirect.com/science/article/pii/S0969698917307440
IRI Infoscan data,10.1016/j.jhealeco.2019.03.011,Journal of Health Economics,Stubbing out hypothetical bias: improving tobacco market predictions by combining stated and revealed preference data,https://www.sciencedirect.com/science/article/pii/S0167629618306179
IRI Infoscan data,10.1136/tobaccocontrol-2018-054826,Tobacco Control,Analysis of tobacco industry pricing strategies in 23 European Union countries using commercial pricing data,https://tobaccocontrol.bmj.com/content/early/2019/06/03/tobaccocontrol-2018-054826.full
IRI Infoscan data,10.1002/agr.21580,Agribusiness,Consumer preferences for cage-free eggs and impacts of retailer pledges,https://onlinelibrary.wiley.com/doi/full/10.1002/agr.21580
IRI Infoscan data,10.1016/j.ijindorg.2018.12.001,International Journal of Industrial Organization,Impact of Mandated Exclusive Territories in the US Brewing Industry Evidence from scanner level data,https://www.sciencedirect.com/science/article/pii/S0167718718301206
IRI Infoscan data,10.1016/j.jretai.2018.11.002,Journal of Retailing,Couponing Strategies in Competition Between a National Brand and a Private Label Product,https://www.sciencedirect.com/science/article/pii/S0022435918300678
IRI Infoscan data,10.1093/ajae/aay032,American Journal of Agricultural Economics,Scanner Data-Based Panel Price Indexes,https://watermark.silverchair.com/aay032.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAn0wggJ5BgkqhkiG9w0BBwagggJqMIICZgIBADCCAl8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMq4AMxnVLMHR4ZNsaAgEQgIICMBoDTIjDH_O6FL9DaAUa2Zw9rN6YyjAMelo-E1I4joERk1VPmSDERptVeDO7ISr6aF54JZR6WDq0WiHmtIO9izlhZYjZgOc6QZk_vctGvyn1laio0xGpFwK7q0022MVrA2gQfqYl3wZQMxMfvELI-c-eKa9xfgsOEN_OtT9DwNxcQtvpIbsgk433VsjnQzsOa22rZBAQTluQUQHxqHyUl5gY1ujNtwP5_u5ucXCQR397-p2piG3XoqLHtqUiYVu8T5BJpqEjfWdtX6ZM4Y0npOYKTRfw4TDYN2MBhSAYv5fxOF7ZVfJUZSQJpXScnFXqQ4SFsL8cCYk3p7w5ZnBo_dl_vcD76k29zMzj_uolsgHXeYXGhvQH5VwZKttyeBEXNf62W1sNX6LMtUyZArH6b1mypMnBfbq7nsyipw20IFdBAmkvD-HMuW2q_iYyQGRvB8lRw-AM5VH2qpFumcH9Vrat7jaI_wo17wsb98CSAD-Kz2B2AcrjleNuolPhALYS8T5cQ2GfgBamYF3DqjUcBisAP28MwZfSObFjDS6v3uR_06abefCbPiqokMx9RvwHLsf-Xpgl4Oc5reyD-22LCkLLPf7fnWmJ6jzwmyzOvSLbxk8dvw8KwbxoBsHXXPRHRZfawGrdjwBeOFyD2xlymz-7EvKV3q3BrsEV9uY29v7h-QZLuRcMyodTe9gG1pmbRIx4bBfebXk0i94ZKwx8uPQXkPJWnRYRPLZkbMdPWXqt
IRI Infoscan data,10.1016/j.jeem.2019.01.001,Journal of Environmental Economics and Management,Bag leakage: The effect of disposable carryout bag regulations on unregulated bags,https://www.sciencedirect.com/science/article/pii/S0095069618305291
